portfolio_id,desk_id,office_id,pf_category,start_date,sold,country_code,euribor_rate,currency,libor_rate,bought,creation_date,indicator_code,sell_date,type,hedge_value,status,return
PF00001062,DSK00001052,OFF00001001,A,20041027,44066000,T,0.02079,USD,2.4691966667,43986646.867196,20041027,,20041129,A,,,0.02514
PF00001063,DSK00001053,OFF00001002,B,20040813,88154000,T,0.02079,USD,2.4691966667,88001464.128842,20041027,,20040916,B,,,0.02496
PF00001064,DSK00001054,OFF00001001,A,20041027,88165000,T,0.02079,USD,2.4691966667,88002293.537279,20041027,,20041018,A,,,0.02496
PF00001065,DSK00001055,OFF00001001,A,20041027,88165000,T,0.02079,USD,2.4691966667,88006234.308685,20041027,,20041118,A,,,0.02514
PF00001066,DSK00001056,OFF00001001,A,20040929,143143000,T,0.02079,USD,2.4691966667,142903269.841002,20041028,,20041029,A,,,0.02499
PF00001070,DSK00001060,OFF00001001,A,20041028,442354000,T,0.02079,USD,2.4691966667,440001641.225597,20041028,,20041015,A,,,0.02538
PF00001071,DSK00001061,OFF00001001,A,20041015,365321000,T,0.02079,USD,2.4691966667,364663137.570292,20041028,,20041118,A,,,0.02514
PF00001072,DSK00001062,OFF00001001,A,20040914,365563000,T,0.02079,USD,2.4691966667,364888361.961882,20041028,,20041018,A,,,0.02496
PF00001073,DSK00001048,OFF00001001,A,20041013,282315000,T,0.02079,USD,2.4691966667,281775165.744963,20041029,,20041117,A,,,0.02508
PF00001074,DSK00001048,OFF00001002,B,20041013,77000000,T,0.02079,USD,2.4691966667,76852762.915049,20041029,,20041117,B,,,0.02508
PF00001075,DSK00001063,OFF00001002,B,20041105,134200000,T,0.02093,USD,2.8038636364,133973361.729746,20041105,,20041208,B,,,0.0252
PF00001076,DSK00001063,OFF00001001,A,20041105,49346000,T,0.02093,USD,2.8038636364,49262663.993411,20041105,,20041208,A,,,0.0252
PF00001079,DSK00001066,OFF00001001,A,20040915,99176000,T,0.02093,USD,2.8038636364,99004392.386526,20041108,,20041015,A,,,0.02496
PF00001080,DSK00001067,OFF00001001,A,20040815,99176000,T,0.02093,USD,2.8038636364,99004392.386526,20041108,,20040915,A,,,0.02496
PF00001081,DSK00001068,OFF00001001,A,20041008,81290000,T,0.02093,USD,2.8038636364,81143963.405857,20041108,,20041112,A,,,0.02508
PF00001082,DSK00001069,OFF00001001,A,20041013,387178000,T,0.02093,USD,2.8038636364,385006562.984769,20041109,,20050117,A,,,0.02592
PF00001083,DSK00001070,OFF00001001,A,20041109,82654000,T,0.02093,USD,2.8038636364,82504803.813102,20041109,,20041213,A,,,0.0252
PF00001084,DSK00001071,OFF00001001,A,20041110,111108800,T,0.02093,USD,2.8038636364,110927359.815129,20041110,,20041213,A,,,0.025236
PF00001089,DSK00001075,OFF00001001,A,20041112,83490000,T,0.02093,USD,2.8038636364,83051453.719586,20041112,,20050211,A,,,0.02622
PF00001090,DSK00001076,OFF00001001,A,20041112,91333000,T,0.02093,USD,2.8038636364,90846165.493138,20041112,,20041025,A,,,0.02544
PF00001091,DSK00001077,OFF00001001,A,20041112,109450000,T,0.02093,USD,2.8038636364,108847769.479856,20041112,,20050125,A,,,0.02598
PF00001093,DSK00001079,OFF00001002,B,20041115,44077000,T,0.02093,USD,2.8038636364,44004817.431135,20041115,,20041215,B,,,0.025308
PF00001094,DSK00001080,OFF00001001,A,20041115,340428000,T,0.02093,USD,2.8038636364,339850622.113904,20041115,,20041216,A,,,0.025308
PF00001096,DSK00001081,OFF00001001,A,20041116,88154000,T,0.02093,USD,2.8038636364,88009395.673496,20041116,,20041216,A,,,0.02535
PF00001097,DSK00001082,OFF00001001,A,20041116,356312000,T,0.02093,USD,2.8038636364,355748361.190244,20041116,,20041215,A,,,0.02535
PF00001098,DSK00001083,OFF00001001,A,20040810,451836000,T,0.02093,USD,2.8038636364,451003147.520915,20041122,,20040913,A,,,0.02493
PF00001101,DSK00001086,OFF00001001,A,20041122,99176000,T,0.02093,USD,2.8038636364,99002498.122044,20041122,,20041215,A,,,0.025236
PF00001102,DSK00001087,OFF00001001,A,20041122,451739200,T,0.02093,USD,2.8038636364,451001511.860438,20041122,,20041213,A,,,0.025236
PF00001103,DSK00001088,OFF00001001,A,20041125,42185550,T,0.02093,USD,2.8038636364,42108497.298351,20041125,,20041230,A,,,0.0255
PF00001106,DSK00001090,OFF00001002,B,20041206,134200000,T,0.02169,USD,2.7529621739,133929908.01883,20041206,,20050110,B,,,0.0264
PF00001109,DSK00001093,OFF00001001,A,20041209,81477000,T,0.02169,USD,2.7529621739,81321959.683866,20041209,,20050113,A,,,0.026568
PF00001110,DSK00001094,OFF00001001,A,20041210,62513000,T,0.02169,USD,2.7529621739,62393616.746978,20041210,,20050114,A,,,0.026664
PF00001111,DSK00001095,OFF00001001,A,20041210,159973000,T,0.02169,USD,2.7529621739,159135008.307506,20041210,,20050311,A,,,0.026148
PF00001116,DSK00001100,OFF00001002,B,20041213,40788000,T,0.02169,USD,2.7529621739,40704978.803643,20041213,,20050117,B,,,0.0267
PF00001117,DSK00001101,OFF00001001,A,20041213,330385000,T,0.02169,USD,2.7529621739,329751076.454899,20041213,,20050113,A,,,0.02679
PF00001118,DSK00001102,OFF00001001,A,20041214,411026000,T,0.02169,USD,2.7529621739,410212866.939304,20041214,,20050117,A,,,0.02676
PF00001121,DSK00001104,OFF00001002,B,20041214,88187000,T,0.02169,USD,2.7529621739,88007098.822159,20041214,,20050118,B,,,0.02676
PF00001122,DSK00001105,OFF00001001,A,20041214,312928000,T,0.02169,USD,2.7529621739,312235773.290617,20041214,,20050120,A,,,0.026604
PF00001124,DSK00001106,OFF00001001,A,20041213,451869000,T,0.02169,USD,2.7529621739,451008763.423878,20041215,,20050113,A,,,0.02658
PF00001125,DSK00001107,OFF00001001,A,20041215,99209000,T,0.02169,USD,2.7529621739,99006885.69343,20041215,,20050117,A,,,0.026724
PF00001127,DSK00001109,OFF00001001,A,20041229,144870000,T,0.02169,USD,2.7529621739,144595449.390469,20041229,,20050131,A,,,0.02646
PF00001128,DSK00001110,OFF00001002,B,20050106,134200000,T,0.02125,USD,3.0655661905,133972715.288511,20050106,,20050208,B,,,0.025272
PF00001129,DSK00001110,OFF00001001,A,20050106,60027000,T,0.02125,USD,3.0655661905,59925336.666349,20050106,,20050208,A,,,0.025272
PF00001130,DSK00001111,OFF00001001,A,20050107,21164000,T,0.02125,USD,3.0655661905,21128139.092137,20050107,,20050209,A,,,0.025284
PF00001131,DSK00001112,OFF00001001,A,20050110,153021000,N,0.02125,GBP,4.6887214286,152456701.360172,20050110,,20050209,C,,,0.0579
PF00001137,DSK00001118,OFF00001001,A,20050112,131153000,T,0.02125,USD,3.0655661905,130938624.374426,20050112,,20050211,A,,,0.02526
PF00001136,DSK00001117,OFF00001001,A,20050112,62513000,T,0.02125,USD,3.0655661905,62399730.622317,20050112,,20050214,A,,,0.025296
PF00001138,DSK00001119,OFF00001001,A,20050113,41877000,T,0.02125,USD,3.0655661905,41806210.472829,20050113,,20050215,A,,,0.025224
PF00001139,DSK00001120,OFF00001001,A,20050113,387024000,T,0.02125,USD,3.0655661905,385005288.935014,20050113,,20050415,A,,,0.02574
PF00001140,DSK00001121,OFF00001002,B,20050113,22000000,T,0.02125,USD,3.0655661905,21960231.850139,20050113,,20050217,B,,,0.025236
PF00001141,DSK00001121,OFF00001001,A,20050113,168157000,T,0.02125,USD,3.0655661905,167853032.146525,20050113,,20050217,A,,,0.025236
PF00001146,DSK00001125,OFF00001001,A,20050114,59059000,T,0.02125,USD,3.0655661905,58959142.047542,20050114,,20050216,A,,,0.02523
PF00001147,DSK00001126,OFF00001001,A,20050117,82951000,T,0.02125,USD,3.0655661905,82508753.083471,20050117,,20050419,A,,,0.025728
PF00001144,DSK00001123,OFF00001001,A,20050113,112816000,T,0.02125,USD,3.0655661905,112625475.237726,20050113,,20050215,A,,,0.0252
PF00001149,DSK00001127,OFF00001002,B,20050119,44000000,T,0.02125,USD,3.0655661905,43930397.776023,20050119,,20050216,B,,,0.02535
PF00001150,DSK00001128,OFF00001001,A,20050124,104676000,T,0.02125,USD,3.0655661905,104118963.545036,20050124,,20050425,A,,,0.02568
PF00001151,DSK00001129,OFF00001001,A,20050126,42196000,T,0.02125,USD,3.0655661905,42116820.377687,20050126,,20050301,A,,,0.02538
PF00001152,DSK00001130,OFF00001001,A,20050127,120692000,T,0.02125,USD,3.0655661905,120494723.361254,20050127,,20050228,A,,,0.02526
PF00001154,DSK00001131,OFF00001001,A,20050204,70246000,T,0.02106,USD,3.378094,70130907.388652,20050204,,20050308,A,,,0.02532
PF00001156,DSK00001133,OFF00001001,A,20050208,2310000,T,0.02106,USD,3.378094,2306215.244542,20050208,,20050309,A,,,0.02532
PF00001157,DSK00001134,OFF00001001,A,20050208,78001000,T,0.02106,USD,3.378094,77873201.423886,20050208,,20050310,A,,,0.02532
PF00001158,DSK00001135,OFF00001001,A,20050209,746955000,T,0.02106,USD,3.378094,745732909.479789,20050209,,20050311,A,,,0.025284
PF00001159,DSK00001136,OFF00001001,A,20050209,132506000,T,0.02106,USD,3.378094,132289412.833545,20050209,,20050311,A,,,0.02526
PF00001160,DSK00001137,OFF00001001,A,20050210,62502000,T,0.02106,USD,3.378094,62399837.59922,20050210,,20050314,A,,,0.02526
PF00001163,DSK00001140,OFF00001001,A,20050211,115516500,T,0.02106,USD,3.378094,115327682.954627,20050211,,20050315,A,,,0.02526
PF00001166,DSK00001143,OFF00001001,A,20050215,224015000,T,0.02106,USD,3.378094,223648837.153841,20050215,,20050317,A,,,0.02526
PF00001167,DSK00001144,OFF00001001,A,20050215,367752000,T,0.02106,USD,3.378094,367172326.689234,20050215,,20050315,A,,,0.02526
PF00001168,DSK00001144,OFF00001002,B,20050215,44000000,T,0.02106,USD,3.378094,43930644.495001,20050215,,20050315,B,,,0.02526
PF00001169,DSK00001146,OFF00001001,A,20050224,97504000,T,0.02106,USD,3.378094,97338629.779556,20050224,,20050218,A,,,0.025308
PF00001170,DSK00001146,OFF00001001,A,20050224,2541000,M,0.02106,CHF,0.964959,2535933.767873,20050224,,20050218,D,,,0.02976
PF00001172,DSK00001147,OFF00001001,A,20050224,69927000,T,0.02106,USD,3.378094,69800836.926172,20050224,,20050331,A,,,0.025188
PF00001173,DSK00001148,OFF00001001,A,20050224,100837000,T,0.02106,USD,3.378094,100672489.965564,20050224,,20050304,A,,,0.025212
PF00001174,DSK00001148,OFF00001001,A,20050224,3487000,M,0.02106,CHF,0.964959,3480016.766358,20050224,,20050304,D,,,0.03096
PF00001175,DSK00001148,OFF00001001,A,20050224,9944000,N,0.02106,GBP,5.0547195,9907405.031612,20050224,,20050304,C,,,0.05778
PF00001182,DSK00001152,OFF00001001,A,20050302,100870000,T,0.02103,USD,3.3639673913,100676198.318234,20050302,,20050406,A,,,0.0252
PF00001177,DSK00001149,OFF00001001,A,20050224,2211000,M,0.02106,CHF,0.964959,2208792.434673,20050224,,20050218,D,,,0.03084
PF00001181,DSK00001151,OFF00001001,A,20050225,42185000,T,0.02106,USD,3.378094,42111217.637434,20050225,,20050331,A,,,0.02523
PF00001183,DSK00001152,OFF00001001,A,20050302,3960000,M,0.02103,CHF,0.8781156522,3950150.95695,20050302,,20050406,D,,,0.03264
PF00001184,DSK00001152,OFF00001001,A,20050302,9944000,N,0.02103,GBP,4.7460056522,9900542.045372,20050302,,20050406,C,,,0.05826
PF00001185,DSK00001153,OFF00001002,B,20050304,110000000,T,0.02103,USD,3.3639673913,109801631.153137,20050304,,20050408,B,,,0.025176
PF00001186,DSK00001153,OFF00001001,A,20050304,74987000,T,0.02103,USD,3.3639673913,74851771.957094,20050304,,20050408,A,,,0.025176
PF00001187,DSK00001154,OFF00001001,A,20050307,10142000,T,0.02103,USD,3.3639673913,10122532.682559,20050307,,20050411,A,,,0.025176
PF00001188,DSK00001155,OFF00001001,A,20050307,162690000,N,0.02103,GBP,4.7460056522,161982646.192422,20050307,,20050411,C,,,0.05796
PF00001191,DSK00001158,OFF00001001,A,20050308,77286000,T,0.02103,USD,3.3639673913,77137686.726925,20050308,,20050412,A,,,0.02517
PF00001192,DSK00001159,OFF00001001,A,20050309,1093851000,T,0.02103,USD,3.3639673913,1091753377.84337,20050309,,20050413,A,,,0.025152
PF00001193,DSK00001160,OFF00001001,A,20050309,222057000,T,0.02103,USD,3.3639673913,221239685.292604,20050309,,20050513,A,,,0.025332
PF00001195,DSK00001163,OFF00001001,A,20050311,156926000,T,0.02103,USD,3.3639673913,156642872.359402,20050311,,20050415,A,,,0.025188
PF00001197,DSK00001165,OFF00001002,B,20050314,88176000,T,0.02103,USD,3.3639673913,88006587.319409,20050314,,20050418,B,,,0.0252
PF00001200,DSK00001168,OFF00001001,A,20050315,151316000,T,0.02103,USD,3.3639673913,151060759.767643,20050315,,20050415,A,,,0.02517
PF00001201,DSK00001168,OFF00001002,B,20050315,30800000,T,0.02103,USD,3.3639673913,30748046.477852,20050315,,20050415,B,,,0.02517
PF00001202,DSK00001169,OFF00001001,A,20050316,616000,M,0.02103,CHF,0.8781156522,615084.549167,20050316,,20050406,D,,,0.03384
PF00001205,DSK00001171,OFF00001001,A,20050316,6633000,N,0.02103,GBP,4.7460056522,6604101.176992,20050316,,20050420,C,,,0.05808
PF00001206,DSK00001172,OFF00001001,A,20050329,202312000,T,0.02103,USD,3.3639673913,201969196.560626,20050329,,20050429,A,,,0.025284
PF00001207,DSK00001173,OFF00001001,A,20050405,122914000,T,0.02104,USD,3.7255361905,122677283.957492,20050405,,20050509,A,,,0.02526
PF00001208,DSK00001174,OFF00001001,A,20050405,7491000,N,0.02104,GBP,5.0484233333,7458295.88339,20050405,,20050509,C,,,0.0582
PF00001211,DSK00001176,OFF00001001,A,20050406,80608000,T,0.02104,USD,3.7255361905,80457241.009739,20050406,,20050510,A,,,0.025296
PF00001212,DSK00001177,OFF00001001,A,20050407,170500000,N,0.02104,GBP,5.0484233333,169800561.249759,20050407,,20050512,C,,,0.0582
PF00001213,DSK00001178,OFF00001001,A,20050408,26697000,T,0.02104,USD,3.7255361905,26650317.52713,20050408,,20050511,A,,,0.025224
PF00001214,DSK00001179,OFF00001001,A,20050408,76736000,T,0.02104,USD,3.7255361905,76601819.146787,20050408,,20050512,A,,,0.025224
PF00001215,DSK00001180,OFF00001001,A,20050411,251581000,T,0.02104,USD,3.7255361905,250680499.93745,20050411,,20050613,A,,,0.02544
PF00001216,DSK00001181,OFF00001001,A,20050411,768064000,T,0.02104,USD,3.7255361905,766719684.819286,20050411,,20050513,A,,,0.025248
PF00001219,DSK00001184,OFF00001001,A,20050412,62513000,T,0.02104,USD,3.7255361905,62392608.262974,20050412,,20050517,A,,,0.02526
PF00001221,DSK00001186,OFF00001001,A,20050413,116831000,T,0.02104,USD,3.7255361905,116619811.240163,20050413,,20050516,A,,,0.025236
PF00001222,DSK00001187,OFF00001001,A,20050413,387156000,T,0.02104,USD,3.7255361905,385006678.826198,20050413,,20050718,A,,,0.025656
PF00001224,DSK00001188,OFF00001002,B,20050413,88000000,T,0.02104,USD,3.7255361905,87835649.739816,20050413,,20050517,B,,,0.02526
PF00001226,DSK00001190,OFF00001001,A,20050415,82951000,T,0.02104,USD,3.7255361905,82500866.107759,20050415,,20050720,A,,,0.02562
PF00001228,DSK00001191,OFF00001002,B,20050418,33000000,T,0.02104,USD,3.7255361905,32944163.303667,20050418,,20050519,B,,,0.025248
PF00001229,DSK00001192,OFF00001001,A,20050418,11044000,N,0.02104,GBP,5.0484233333,11001606.139634,20050418,,20050519,C,,,0.0582
PF00001231,DSK00001194,OFF00001001,A,20050421,106051000,T,0.02104,USD,3.7255361905,105481470.380924,20050421,,20050725,A,,,0.025632
PF00001232,DSK00001195,OFF00001001,A,20050427,42185000,T,0.02104,USD,3.7255361905,42108599.794085,20050427,,20050530,A,,,0.025284
PF00001234,DSK00001197,OFF00001001,A,20050502,131835000,T,0.02105,USD,3.4116940909,131618998.598967,20050502,,20050225,A,,,0.02532
PF00001235,DSK00001197,OFF00001001,A,20050502,15257000,N,0.02105,GBP,4.4170186364,15200910.721755,20050502,,20050225,C,,,0.05772
PF00001237,DSK00001198,OFF00001001,A,20050502,14696000,N,0.02105,GBP,4.4170186364,14632235.523774,20050502,,20050330,C,,,0.05784
PF00001240,DSK00001200,OFF00001001,A,20050504,146454000,T,0.02105,USD,3.4116940909,146213819.432615,20050504,,20050606,A,,,0.025344
PF00001242,DSK00001202,OFF00001001,A,20050506,75735000,T,0.02105,USD,3.4116940909,75606672.374937,20050506,,20050608,A,,,0.025284
PF00001246,DSK00001205,OFF00001001,A,20050510,75856000,T,0.02105,USD,3.4116940909,75714397.251713,20050510,,20050613,A,,,0.025248
PF00001247,DSK00001206,OFF00001001,A,20050511,542069000,T,0.02105,USD,3.4116940909,541088667.576281,20050511,,20050613,A,,,0.025248
PF00001248,DSK00001207,OFF00001001,A,20050511,132693000,T,0.02105,USD,3.4116940909,132445474.125019,20050511,,20050614,A,,,0.02523
PF00001249,DSK00001208,OFF00001001,A,20050511,451825000,T,0.02105,USD,3.4116940909,451007873.956365,20050511,,20050613,A,,,0.025248
PF00001250,DSK00001209,OFF00001001,A,20050512,111650000,T,0.02105,USD,3.4116940909,111454490.248354,20050512,,20050615,A,,,0.02526
PF00001251,DSK00001210,OFF00001001,A,20050512,62502000,T,0.02105,USD,3.4116940909,62399837.59922,20050512,,20050614,A,,,0.02526
PF00001252,DSK00001211,OFF00001001,A,20050512,44077000,T,0.02105,USD,3.4116940909,44002385.399533,20050512,,20050615,A,,,0.02526
PF00001254,DSK00001213,OFF00001001,A,20050517,396330000,T,0.02105,USD,3.4116940909,395682180.341404,20050517,,20050616,A,,,0.02526
PF00001256,DSK00001215,OFF00001001,A,20050517,13079000,N,0.02105,GBP,4.4170186364,13023850.238553,20050517,,20050620,C,,,0.05796
PF00001257,DSK00001214,OFF00001002,B,20050517,33000000,T,0.02105,USD,3.4116940909,32938368.652431,20050517,,20050620,B,,,0.02526
PF00001259,DSK00001216,OFF00001002,B,20050518,88143000,T,0.02105,USD,3.4116940909,88003734.0908,20050518,,20050616,B,,,0.02532
PF00001261,DSK00001217,OFF00001001,A,20050524,18029000,N,0.02105,GBP,4.4170186364,17962033.601853,20050524,,20050527,C,,,0.05832
PF00001263,DSK00001218,OFF00001001,A,20050525,20515000,N,0.02105,GBP,4.4170186364,20425435.862744,20050525,,20050629,C,,,0.0582
PF00001266,DSK00001221,OFF00001001,A,20050602,144056000,T,0.02104,USD,3.8135236364,143794114.968119,20050602,,20050707,A,,,0.02538
PF00001267,DSK00001222,OFF00001001,A,20050602,9020000,N,0.02104,GBP,4.7236945455,8983073.41547,20050602,,20050707,C,,,0.05808
PF00001268,DSK00001223,OFF00001002,B,20050606,110000000,T,0.02104,USD,3.8135236364,109806466.103488,20050606,,20050708,B,,,0.02538
PF00001269,DSK00001223,OFF00001001,A,20050606,77165000,T,0.02104,USD,3.8135236364,77029235.9716,20050606,,20050708,A,,,0.02538
PF00001271,DSK00001225,OFF00001001,A,20050607,34969000,T,0.02104,USD,3.8135236364,34903381.642514,20050607,,20050711,A,,,0.02538
PF00001272,DSK00001226,OFF00001001,A,20050609,82929000,T,0.02104,USD,3.8135236364,82851377.465021,20050609,,20050629,A,,,0.025296
PF00001273,DSK00001227,OFF00001001,A,20050609,1094632000,T,0.02104,USD,3.8135236364,1092703378.53689,20050609,,20050713,A,,,0.025416
PF00001275,DSK00001229,OFF00001001,A,20050610,130933000,T,0.02104,USD,3.8135236364,130709986.977218,20050610,,20050713,A,,,0.025416
PF00001276,DSK00001230,OFF00001001,A,20050613,44088000,T,0.02104,USD,3.8135236364,44010321.782053,20050613,,20050715,A,,,0.025416
PF00001278,DSK00001233,OFF00001002,B,20050614,85943000,T,0.02104,USD,3.8135236364,85777092.806328,20050614,,20050719,B,,,0.02532
PF00001279,DSK00001232,OFF00001001,A,20050614,223014000,T,0.02104,USD,3.8135236364,222594927.948976,20050614,,20050718,A,,,0.025416
PF00001280,DSK00001234,OFF00001001,A,20050615,386276000,T,0.02104,USD,3.8135236364,385525382.081092,20050615,,20050719,A,,,0.025488
PF00001281,DSK00001235,OFF00001001,A,20050616,13057000,N,0.02104,GBP,4.7236945455,13027814.127086,20050616,,20050707,C,,,0.05772
PF00001284,DSK00001237,OFF00001001,A,20050621,75702000,T,0.02104,USD,3.8135236364,75573059.764532,20050621,,20050712,A,,,0.025416
PF00001286,DSK00001239,OFF00001001,A,20050627,22088000,N,0.02104,GBP,4.7236945455,22000660.392029,20050627,,20050729,C,,,0.05796
PF00001287,DSK00001240,OFF00001001,A,20050628,182270000,T,0.02104,USD,3.8135236364,181959254.029509,20050628,,20050729,A,,,0.02544
PF00001289,DSK00001242,OFF00001001,A,20050705,22049500,N,0.02104,GBP,4.47995,22006361.502312,20050705,,20050722,C,,,0.05724
PF00001291,DSK00001243,OFF00001001,A,20050706,80872000,T,0.02104,USD,4.05121,80725395.953829,20050706,,20050808,A,,,0.025308
PF00001292,DSK00001244,OFF00001001,A,20050707,38676000,T,0.02104,USD,4.05121,38610528.341594,20050707,,20050809,A,,,0.02526
PF00001293,DSK00001245,OFF00001001,A,20050707,176671000,N,0.02104,GBP,4.47995,176005362.186401,20050707,,20050809,C,,,0.05712
PF00001295,DSK00001247,OFF00001001,A,20050711,314842000,T,0.02104,USD,4.05121,314492192.954544,20050711,,20050801,A,,,0.02529
PF00001297,DSK00001249,OFF00001001,A,20050712,62502000,T,0.02104,USD,4.05121,62399692.237927,20050712,,20050812,A,,,0.025296
PF00001298,DSK00001250,OFF00001001,A,20050712,40777000,T,0.02104,USD,4.05121,40700735.865592,20050712,,20050816,A,,,0.025296
PF00001299,DSK00001251,OFF00001001,A,20050713,117920000,T,0.02104,USD,4.05121,117699352.94634,20050713,,20050816,A,,,0.025308
PF00001300,DSK00001252,OFF00001001,A,20050713,387079000,T,0.02104,USD,4.05121,385007031.188461,20050713,,20051017,A,,,0.025548
PF00001301,DSK00001253,OFF00001001,A,20050713,171831000,T,0.02104,USD,4.05121,171519506.283301,20050713,,20050818,A,,,0.025308
